SITECODE,CEF.include,Marine,Longitude,Latitude,dat.CELLNO,dat.ATSEA,flt.LONG,flt.LAT,flt.CELLNO,flt.ATSEA,flt.DIST,flt.near,datxy.E,datxy.N,datxy.CELLNO,datxy.ATSEA,fltxy.E,fltxy.N,fltxy.CELLNO,fltxy.ATSEA,fltxy.DIST,fltxy.near
UK9003211,TRUE,FALSE,-5.713888889,56.49666667,1600531,TRUE,-5.70833333333332,56.49708,1600531,TRUE,0.345246312628447,TRUE,3361372.23178278,3816065.85247883,1686513,TRUE,3361466,3815659,1686513,TRUE,417.518164984518,TRUE
UK9004121,TRUE,FALSE,-3.142,56.409,1617922,TRUE,-3.14166666666665,56.4054133333333,1617922,TRUE,0.399904977677956,TRUE,3514332.40147965,3774760.15915697,1751323,TRUE,3514466,3774659,1751323,TRUE,167.576071313964,TRUE
UK9004171,TRUE,FALSE,-2.564,56.186,1658699,TRUE,-2.55833333333332,56.1887466666667,1658699,TRUE,0.466183346413623,TRUE,3544920.16963876,3743923.1982289,1800240,TRUE,3544466,3743659,1800240,TRUE,525.424366515961,TRUE
UK9004271,TRUE,FALSE,-2.185,55.92416667,1708865,FALSE,-2.17499999999998,55.92208,1708866,TRUE,0.666938558020503,TRUE,3563000.73460665,3711123.89693235,1852300,TRUE,3563466,3710659,1852300,TRUE,657.724139713396,TRUE
UK9004411,TRUE,FALSE,-2.651,56.058,1683765,FALSE,-2.65833333333332,56.0637466666667,1682198,TRUE,0.786195698210303,TRUE,3537040.30011625,3730823.4057448,1820734,TRUE,3537466,3730659,1820734,TRUE,456.343773865126,TRUE
UK9004451,TRUE,FALSE,-3.170833333,55.98333333,1697837,FALSE,-3.17499999999998,55.9887466666667,1696270,TRUE,0.656445018799596,TRUE,3503682.14670384,3728436.33314238,1823854,FALSE,3504466,3728659,1823855,TRUE,814.865951787579,TRUE
UK9005012,TRUE,TRUE,-3.7966,54.7257,1934417,TRUE,-3.79166666666665,54.72208,1934417,TRUE,0.513253218379681,TRUE,3438074.86516982,3598060.78182419,2030376,TRUE,3438466,3597659,2030376,TRUE,560.727286322254,TRUE
UK9005103,TRUE,FALSE,-2.987222222,53.70555556,2125639,TRUE,-2.99166666666665,53.7054133333333,2125639,TRUE,0.293926755224234,TRUE,3468557.20977752,3476500.19918615,2221223,TRUE,3468466,3476659,2221223,TRUE,183.130887604309,TRUE
UK9006011,TRUE,FALSE,-1.8381,55.6728,1755896,TRUE,-1.84166666666665,55.67208,1755896,TRUE,0.238299490557396,TRUE,3579637.26808761,3679880.23824587,1901203,TRUE,3579466,3679659,1901203,TRUE,279.784058278517,TRUE
UK9006021,TRUE,FALSE,-1.6486,55.6203,1765310,TRUE,-1.64166666666665,55.62208,1765310,TRUE,0.479663463301666,TRUE,3590415.50230318,3672166.75087946,1912253,TRUE,3590466,3672659,1912253,TRUE,494.832511112425,TRUE
UK9006031,TRUE,FALSE,-1.5372,55.335,1818594,TRUE,-1.54166666666665,55.3387466666667,1818594,TRUE,0.504306881043143,TRUE,3592135.59967313,3639654.34490921,1964296,TRUE,3592466,3639659,1964296,TRUE,330.433118600634,TRUE
UK9006061,TRUE,FALSE,-1.1506,54.6667,1945544,TRUE,-1.15833333333331,54.6637466666667,1945544,TRUE,0.597563053583378,TRUE,3604615.01890627,3562217.83451621,2085737,TRUE,3604466,3562659,2085737,TRUE,465.653968643948,TRUE
UK9006101,TRUE,FALSE,-0.1792,54.1658,2039623,TRUE,-0.174999999999978,54.1637466666667,2039623,TRUE,0.357061676109111,TRUE,3658547.03739344,3497727.45789161,2188296,TRUE,3658466,3497659,2188296,TRUE,106.08271329264,TRUE
UK9006111,TRUE,FALSE,0.0569,53.5497,2155595,TRUE,0.0583333333333549,53.54708,2155595,TRUE,0.306685952059632,TRUE,3664272.96035157,3427587.07089965,2298692,TRUE,3664466,3427659,2298692,TRUE,206.005100280868,TRUE
UK9006131,TRUE,FALSE,-1.5883,55.4661,1795086,FALSE,-1.57499999999998,55.4637466666667,1795087,TRUE,0.881104478311919,TRUE,3591336.36971559,3654594.1902064,1940640,TRUE,3591466,3654659,1940640,TRUE,144.9286720492,TRUE
UK9008021,TRUE,FALSE,0.286666667,52.93777778,2270000,TRUE,0.291666666666689,52.9387466666667,2270000,TRUE,0.353032378415218,TRUE,3670155.97158279,3357956.96339538,2409088,TRUE,3670466,3357659,2409088,TRUE,429.999772631567,TRUE
UK9008022,TRUE,FALSE,0.3378,53.1,2240230,TRUE,0.34166666666669,53.09708,2240230,TRUE,0.415553783621476,TRUE,3675975.53497746,3375414.41154269,2380708,TRUE,3676466,3375659,2380708,TRUE,548.068838549314,TRUE
UK9009031,TRUE,FALSE,0.598611111,52.97027778,2263750,FALSE,0.59166666666669,52.9804133333333,2262183,TRUE,1.22061181888365,TRUE,3691390.94877063,3358794.39278632,2407532,FALSE,3691466,3359659,2405955,TRUE,867.858468283289,TRUE
UK9009101,TRUE,FALSE,1.633888889,52.31527778,2387606,FALSE,1.65833333333336,52.3054133333333,2389174,TRUE,1.99606114854998,TRUE,3751923.59362701,3277830.59800114,2535329,FALSE,3753466,3275659,2538485,TRUE,2663.61695782412,TRUE
