SITE_CODE,SITE_NAME,CEF.include,Marine.only,Altnames.sufficient,Altnames.SPApolys,Altnames.SMP,Altnames.Productivity,Altnames.BDMPS,Altnames.FR
UK9009261,Deben Estuary,NA,NA,NA,NA,NA,NA,NA,NA
UK9009242,Dengie (Mid-Essex Coast Phase 1),NA,NA,NA,NA,NA,NA,NA,NA
UK9004291,Din Moss - Hoselaw Loch,NA,NA,NA,NA,NA,NA,NA,NA
UK9001622,Dornoch Firth and Loch Fleet,NA,NA,NA,NA,NA,NA,NA,NA
UK9010101,Dorset Heathlands,NA,NA,NA,NA,NA,NA,NA,NA
UK9002301,Drumochter Hills,NA,NA,NA,NA,NA,NA,NA,NA
UK9012091,"Dungeness, Romney Marsh and Rye Bay",Y,NA,NA,NA,NA,Dungeness to Pett Level,Dungeness to Pett Level,NA
UK9020284,Dyfi Estuary / Aber  Dyfi,NA,NA,NA,NA,NA,NA,NA,NA
UK9001182,East Caithness Cliffs,Y,NA,NA,NA,East Caithness Cliffs (North)-Tysties; East Caithness Cliffs (South),East Caithness Cliffs (North); East Caithness Cliffs (South),NA,NA
UK9010121,East Devon Heaths,NA,NA,NA,NA,NA,NA,NA,NA
UK9020311,"East Mainland Coast, Shetland",Y,NA,NA,NA,NA,NA,NA,NA
UK9002331,East Sanday Coast,NA,NA,NA,NA,NA,NA,NA,NA
UK9003054,Eilean na Muice Duibhe (Duich Moss),NA,NA,NA,"Eilean na Muice Duibhe (Duich Moss), Islay",NA,NA,NA,NA
UK9014111,Elenydd - Mallaen,NA,NA,NA,NA,NA,NA,NA,NA
UK9001761,"Eoligarry, Barra",NA,NA,NA,NA,NA,NA,NA,NA
UK9010081,Exe Estuary,NA,NA,NA,NA,NA,NA,NA,NA
UK9002091,Fair Isle,Y,NA,NA,NA,NA,NA,NA,NA
UK9004241,Fala Flow,NA,NA,NA,NA,NA,NA,NA,NA
UK9020323,Falmouth Bay to St Austell Bay,Y,Y,NA,NA,NA,NA,NA,NA
UK9006021,Farne Islands,Y,NA,NA,NA,NA,NA,NA,NA
UK9002031,Fetlar,Y,NA,NA,NA,NA,NA,NA,NA
UK9004411,Firth of Forth,Y,NA,NA,NA,NA,NA,NA,NA
UK9004121,Firth of Tay and Eden Estuary,Y,NA,NA,NA,NA,NA,NA,NA
